plor_cd,plor_nm
217812.0,강원 속초시 조양동1378∼1499
217813.0,강원 속초시 조양동1500∼1560
219000.0,강원도 고성군
219700.0,강원 고성군 간성읍  삼익아파트 
219705.0,강원 고성군 토성면  경동대학교 
219800.0,강원 고성군 간성읍
219801.0,강원 고성군 간성읍 간촌리
219802.0,강원 고성군 간성읍 광산리
219803.0,강원 고성군 간성읍 금수리
219804.0,강원 고성군 간성읍 진부리
219810.0,강원 고성군 현내면
219811.0,강원 고성군 현내면 대진1리
219812.0,강원 고성군 현내면 대진3리
219813.0,강원 고성군 현내면 마달리
219820.0,강원 고성군 죽왕면
219821.0,강원 고성군 죽왕면 가진리
219822.0,강원 고성군 죽왕면 구성리
219823.0,강원 고성군 죽왕면 문암진리
219830.0,강원 고성군 토성면
219831.0,강원 고성군 토성면 교암리
219832.0,강원 고성군 토성면 봉포리
219833.0,강원 고성군 토성면 성대리
219839.0,강원 고성군 간성읍 광산리 사서함 71
219900.0,강원 고성군 거진읍
219901.0,강원 고성군 거진읍 거진1리
219902.0,강원 고성군 거진읍 거진10리
219903.0,강원 고성군 거진읍 냉천리
219904.0,강원 고성군 거진읍 봉평리
220000.0,강원도 원주시
220003.0,강원 원주시 단계동  원주우편집중국 
220010.0,강원 원주시 중앙동
220020.0,강원 원주시 평원동
220030.0,강원 원주시 학성동
220040.0,강원 원주시 명륜동
220041.0,강원 원주시 명륜1동
220042.0,강원 원주시 명륜2동
220050.0,강원 원주시 일산동
220060.0,강원 원주시 원동
220070.0,강원 원주시 인동
220080.0,강원 원주시 봉산동
220090.0,강원 원주시 단구동
220100.0,강원 원주시 단계동
220110.0,강원 원주시 개운동
220120.0,강원 원주시 태장동
220121.0,강원 원주시 태장1동
220122.0,강원 원주시 태장2동
220130.0,강원 원주시 우산동
220140.0,강원 원주시 가현동
220150.0,강원 원주시 무실동
220160.0,강원 원주시 행구동
220170.0,강원 원주시 반곡동
220180.0,강원 원주시 관설동
220600.0,강원 원주시 원주우체국사서함
220700.0,강원 원주시 명륜1동 원주시제2청사
220701.0,강원 원주시 일산동  연세대학교원주의과대학기독병원 
220702.0,강원 원주시 우산동  상지대학교 
220703.0,강원 원주시 무실동  원주시청 
220704.0,강원 원주시 무실동  원주교도소 
220705.0,강원 원주시 학성동  KT원주지사 
220706.0,강원 원주시 관설동  KT강원본부 
220707.0,강원 원주시 봉산동  원주경찰서 
220708.0,강원 원주시 개운동  원주지방환경관리청 
220709.0,강원 원주시 개운동  지방공사강원도원주의료원 
220710.0,강원 원주시 흥업면  연세대학교원주캠퍼스 
220711.0,강원 원주시 흥업면  원주대학 
220712.0,강원 원주시 흥업면  한라대학교 
220713.0,강원 원주시 우산동  상지영서대학 
220714.0,강원 원주시 단계동  강원체신청 
220715.0,강원 원주시 학성동  춘천지방검찰청원주지청 
220716.0,강원 원주시 학성동  MBC원주문화방송주 
220717.0,강원 원주시 우산동  상지대학교부속상지한방병원 
220718.0,강원 원주시 단계동  원주세무서 
220719.0,강원 원주시 단계동  원주지방합동청사 
220720.0,강원 원주시 단계동  국민연금공단원주지사 
220721.0,강원 원주시 단계동  고용안정센터 
220722.0,강원 원주시 봉산동  아포리배말타운아파트 101∼105동
220723.0,강원 원주시 단계동 신한신용정보원주영업소
220724.0,강원 원주시 명륜2동  현진에버빌아파트 301∼304동
220725.0,강원 원주시 개운동  원주현대홈타운스위트 101∼104동
220726.0,강원 원주시 원동  대한주택공사강원지사 
